"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14958","Logout","","Mon May 20 14:32:17 IST 2024","passed","Mon May 20 14:32:32 IST 2024","Logout Functionality @Employee","Hrvms\employee\Logout.spec.ts","",""
"","47186","Received Invoice","","Tue May 21 16:44:24 IST 2024","failed","Tue May 21 16:45:11 IST 2024","Received Invoice List @Accountant","Hrvms\Accountant\ReceivedInvoiceList.spec.ts","",""
"","34207","My Timesheets","","Mon May 20 14:33:28 IST 2024","passed","Mon May 20 14:34:02 IST 2024","My Timesheets Functionality @Employee","Hrvms\employee\MyTimesheets.spec.ts","",""
"","26811","esr","","Mon May 20 14:30:18 IST 2024","passed","Mon May 20 14:30:45 IST 2024","Esr Functionality @Employee","Hrvms\employee\ESR.spec.ts","",""
"","15402","login with valid details","","Mon Nov 11 14:01:16 IST 2024","passed","Mon Nov 11 14:01:31 IST 2024","loginpage @Employee","Hrvms\employee\login.spec.ts","",""
"","22294","Reports","","Tue May 21 16:45:12 IST 2024","passed","Tue May 21 16:45:35 IST 2024","Reports Functionality @Accountant","Hrvms\Accountant\Reports.spec.ts","",""
"","23937","NewsEvents","","Mon May 20 14:34:02 IST 2024","passed","Mon May 20 14:34:26 IST 2024","NewsandEvents @Employee","Hrvms\employee\Newsandevents.spec.ts","",""
"","15353","Prompt Dialog  @Accountant","","Tue May 21 16:42:22 IST 2024","passed","Tue May 21 16:42:37 IST 2024","Alerts","Hrvms\Accountant\Dialogwindowhandler.spec.ts","",""
"","26485","New Payslips","","Tue Dec 24 17:37:45 IST 2024","failed","Tue Dec 24 17:38:11 IST 2024","New Payslips functionality @Employee","Hrvms\employee\Newpayslip.spec.ts","",""
"","35478","validate search by client","","Tue May 21 16:45:35 IST 2024","passed","Tue May 21 16:46:10 IST 2024","Search By Client Functionality @Accountant","Hrvms\Accountant\SearchByClient.spec.ts","",""
"","20720","Add Expenses","","Mon May 20 14:27:57 IST 2024","passed","Mon May 20 14:28:17 IST 2024","Add Expenses Functionality @Employee","Hrvms\employee\Addexpenses.spec.ts","",""
"","24844","Generate Invoice","","Tue May 21 16:43:39 IST 2024","failed","Tue May 21 16:44:04 IST 2024","Generate Invoice Functionality @Accountant","Hrvms\Accountant\Generateinvoicelist.spec.ts","",""
